,date,XHB.US_5,EWU.US_5,JNK.US_5,XLP.US_5,IEV.US_5,UDOW.US_5,XRT.US_5,FXA.US_5,SLV.US_5,FXE.US_5,XLU.US_5,XLK.US_5,ECH.US_5,GSG.US_5,XLV.US_5,XLY.US_5,IBB.US_5,EWG.US_5,COPX.US_5,SOXX.US_5,SVXY.US_5,FEZ.US_5,XLF.US_5,EMB.US_5,XOP.US_5,VNQI.US_5,cash,prt_value
81,2019-11-05 16:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,10000000.0
82,2019-11-05 17:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,10000000.0
83,2019-11-05 18:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,10000000.0
84,2019-11-05 19:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,10000000.0
85,2019-11-05 20:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,10000000.0
86,2019-11-05 21:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,10000000.0
87,2019-11-05 22:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,10000000.0
88,2019-11-06 15:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,10000000.0
89,2019-11-06 16:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,10000000.0
90,2019-11-06 17:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,10000000.0
91,2019-11-06 18:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,10000000.0
92,2019-11-06 19:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,10000000.0
93,2019-11-06 20:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,10000000.0
94,2019-11-06 21:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,10000000.0
95,2019-11-06 22:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,10000000.0
96,2019-11-07 15:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,10000000.0
97,2019-11-07 16:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,10000000.0
98,2019-11-07 17:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,10000000.0
99,2019-11-07 18:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,10000000.0
100,2019-11-07 19:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,10000000.0
101,2019-11-07 20:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,10000000.0
102,2019-11-07 21:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,10000000.0
103,2019-11-07 22:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,10000000.0
104,2019-11-08 15:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,10000000.0
105,2019-11-08 16:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,10000000.0
106,2019-11-08 17:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,10000000.0
107,2019-11-08 18:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,10000000.0
108,2019-11-08 19:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,10000000.0
109,2019-11-08 20:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,10000000.0
110,2019-11-08 21:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,10000000.0
111,2019-11-08 22:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,10000000.0
112,2019-11-11 15:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,10000000.0
113,2019-11-11 16:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,10000000.0
114,2019-11-11 17:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,10000000.0
115,2019-11-11 18:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,10000000.0
116,2019-11-11 19:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,10000000.0
117,2019-11-11 20:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,10000000.0
